#{"t_start": 1709296557.2705503, "env_id": "CartPole-v1"}
r,l,t
26.0,26,0.642338
12.0,12,0.766668
20.0,20,0.78148
36.0,36,0.879672
12.0,12,0.956817
15.0,15,0.965624
41.0,41,1.140167
16.0,16,1.149979
48.0,48,1.327037
145.0,145,1.695374
