#{"t_start": 1709296557.2661958, "env_id": "CartPole-v1"}
r,l,t
38.0,38,0.770864
15.0,15,0.782217
36.0,36,0.881177
24.0,24,0.965529
27.0,27,1.057009
55.0,55,1.237843
46.0,46,1.341865
78.0,78,1.529359
136.0,136,1.966233
