#{"t_start": 1709296557.2670813, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.637003
10.0,10,0.643245
44.0,44,0.867339
76.0,76,1.059409
15.0,15,1.069078
34.0,34,1.235289
18.0,18,1.247482
19.0,19,1.333159
152.0,152,1.705087
