#{"t_start": 1709296557.268406, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.638597
14.0,14,0.764971
25.0,25,0.783523
48.0,48,0.958833
37.0,37,1.057275
20.0,20,1.143135
20.0,20,1.154932
36.0,36,1.251217
219.0,219,1.888327
