#{"t_start": 1709296557.2695162, "env_id": "CartPole-v1"}
r,l,t
54.0,54,0.779758
19.0,19,0.86826
36.0,36,0.959905
22.0,22,1.047594
34.0,34,1.143867
21.0,21,1.155737
167.0,167,1.684083
22.0,22,1.698685
45.0,45,1.875438
