#{"t_start": 1709296557.2689679, "env_id": "CartPole-v1"}
r,l,t
33.0,33,0.76452
107.0,107,1.054372
16.0,16,1.065418
41.0,41,1.236492
19.0,19,1.248851
95.0,95,1.52135
